ad_id	site_id	frequency	total_users
oadm_728x90	googledbm	20	2
300x600	tripadvisor	20	3
probabilistic_fox_video30s	dcbm	20	2
46777506	171	20	1
audio_comp_300x250_mobile	tuneinmobile	20	2
245541	421-innovid	18	3
personal	owneriq	18	3
dalejr	usatoday	18	3
48147144	18556	18	3
711888	brightrollexchange	18	3
milesoflife	clearstream	18	2
vsr_fabric_care_competitive_purchasers	xaxis	18	3
video	rocketfuel	18	3
richmedia	drawbridgemobile	18	2
93480634	N4682.284566THETRADEDESK	18	3
42192701	23043	18	2
94247575	N428001.3027484BASISDSP	18	1
birthdayforkids	evite	18	2
oadw728x90	googledbm	18	3
970x250	justpremium	18	2
230221	30-innovid	18	3
78134260	N5371.274177.WEBMD	18	2
-	maxpointinteractivemobile	18	2
668428	brightrollexchange	18	3
yahoo1x1	yahoo	18	3
-	youtube	18	1
46777507	171	18	1
78135522	N5371.274177.WEBMD	18	2
48209023	36210	16	2
300x250	maxpointinteractive	16	2
138211213158	meredith	16	1
300x250_brandview	inccom	16	1
46777503	171	16	1
93718454	N553.Rocketfuel	16	2
creative	brightrollexchange	16	2
42186968	95546	16	2
48304776	62574	16	2
48700986	18556	16	2
oadw160x600	googledbm	16	2
probabilistic_butterfly_video30s	dcbm	16	2
728x90	justpremium	16	2
94247311	N428001.3027484BASISDSP	14	1
richmedia	dataxu	14	2
46798820	18556	14	2
160x600	conversant	14	2
1074428066	60779	14	1
cbssports1x1	cbssports	14	2
vsr_oxiclean_purchasers	xaxis	14	2
creative	Quantcastmobile	14	2
teads_inread60_desktop	teads	14	1
728x90_october_amnettarget_contextual_blockad	amnetgroup	14	2
93635035	N96601.132333TRIADDIGITAL	14	1
137738	dstillery	14	2
rent_text_logo_link	realtor	14	2
roseanna	dataxu	14	1
42172234	95546	14	2
target	adconion	14	2
240229	1994-innovid	14	2
48304771	62574	12	2
meredith_highimpact	meredith	12	2
812345	videology	12	1
93495146	N7310.468584.AMNETGROUPINC.	12	2
standarddisplay	foursquaremobile	12	2
91605262	N9724.288332ACCUEN	12	1
1x1	collective	12	2
-	undertone	12	1
-	-	12	2
deterministic_butterfly_video30s	dcbm	12	2
81399068	N6103.285985MEDIAIQ0	12	2
-	about	12	2
92096749	N9724.2550REALTOR.COM	12	2
93503850	N4682.284566THETRADEDESK	12	2
native	centro	12	2
hype_15	amobee	12	2
divulgacao	Globo	12	2
715275	brightrollexchange	12	2
-	centro	12	2
42187001	95546	12	1
behavioral-richmedia	juicemobile	12	2
91574532	N9724.288332ACCUEN	12	2
video	teads	12	2
moving15	clearstream	12	2
137717	dstillery	12	2
300x250	adcolony	12	1
93091860	N7384.131139SPECIFICMEDIAPERFOR0	12	2
deterministic_butterfly_728x90	education	12	2
sponsorship	thisoldhouse	12	1
160x600_tortillakit_345g_fresh	aap	12	2
230223	30-innovid	12	2
48035330	18556	12	2
manifesto30	clearstream	12	2
creative	mobilefuse	12	2
stackadapt_1x1	98629	12	1
interscroller	tabmomobile	12	2
93918142	N1057.1972103DOUBLECLICKBIDMANAG	12	2
42188872	23043	12	1
morefun_15	amobee	12	2
92968897	N553.Rocketfuel	12	2
93563801	N4682.284566THETRADEDESK	12	2
-	pandoramobile	12	1
230220	30-innovid	12	2
970x250	Uol	12	2
probabilistic_butterfly_300x600	dcbm	12	2
715268	brightrollexchange	12	2
48275855	84411	10	1
1928754	3155	10	1
cnbc_mis_takeover_728x90	cnbc	10	1
970x250	apartmenttherapy	10	1
93298069	N5118.1302111CLEARSTREAM.TV	10	1
91895094	dataxu	10	1
91951408	dataxu	10	1
creative	yahoomobile	10	1
91605435	dataxu	10	1
display-banner	Awlogy	10	1
138212518212	335798	10	1
94080066	N4620.150834TURN	10	1
tubemogul_ox_desktop	tubemogul	10	1
93495146	N7310.752083.NETMININGLLC	10	1
48275245	3758	10	1
92150733	N46002.8660FAZ.DE	10	1
92711509	N9515.151757EXCHANGELAB3	10	1
93213037	N69702.280211CONVERSANTMEDIA	8	1
300x600	gannett	8	1
93812280	N568001.2721420POPSUGAR_PG	8	1
vsr_new_moms	xaxis	8	1
300x250	exponential	8	1
300x600_fajitakit_500g_fresh	aap	8	1
-	crucialinteractive	8	1
pandora_exposed	pandora	8	1
138211213593	meredith	8	1
138212657902	meredith	8	1
91183567	N4620.WebMD	8	1
728x90v1	aap	8	1
-	gumgum	8	1
46730573	18556	8	1
93317124	N5118.1302111CLEARSTREAM.TV	8	1
gumgum_inscreen	accuen	8	1
93509616	N4682.284566THETRADEDESK	8	1
715287	brightrollexchange	8	1
1024x100_october_amnettarget_contextual_baseb	amnetgroup	8	1
138209830832	allrecipes	8	1
mlb_sponsorship_320x50_mobile	tuneinmobile	8	1
82112077	N46002.274181WEATHER.COM	8	1
970x250	financialtimes	8	1
creative	sojernmobile	8	1
creative	thetradedeskmobile	8	1
42172578	95546	8	1
138212735912	meredith	8	1
sk_nativeunit	sheknows	8	1
92651782	N30602.150834TURN2	8	1
sport_tag_ncaaf_creativeb	gannett	8	1
mobile_exposed	timeincmobile	8	1
48269816	62406	8	1
creative	desckmobile	8	1
138204155569	allrecipes	8	1
91742731	dataxu	8	1
93480619	N4682.284566THETRADEDESK	8	1
138214624877	8885703	8	1
138211748258	meredith	8	1
160x600_v2	rocketfuel	8	1
93665559	N553.Rocketfuel	8	1
-	yahoo	8	1
vice-inbanner-video	vice	8	1
1920x1200	justpremium	8	1
20185959	thetradedesk	8	1
320x50	akitechnologiesmobile	6	1
divulgacao	globonoticias	6	1
83096781	N6040.2573CONDNASTDIGITALWIRED	6	1
93892975	N7384.3027484BASISDSP0	6	1
138211694728	meredith	6	1
standarddisplay	aap	6	1
rec_160x600_searchresultpagebelow-the-fold	amazonint	6	1
amazon	amazonproper	6	1
94209557	N96601.132333TRIADDIGITAL	6	1
48208895	18556	6	1
138212666373	allrecipes	6	1
42187005	95546	6	1
138212850897	335798	6	1
93563789	N4682.284566THETRADEDESK	6	1
78134957	N5371.157906.TIMEINC.COM	6	1
728x90	bonappetit	6	1
728x90_october_amnettarget_pb_stickyad_atf	amnetgroup	6	1
-	conversant	6	1
48691680	18556	6	1
inview1	financialtimes	6	1
93249931	N46002.1933105IDGE1	6	1
91573155	N9724.288332ACCUEN	6	1
93769813	N568001.2721420POPSUGAR_PG	6	1
90815674	N498605.149937VARICKMM	6	1
customcontentcenter	healthline	6	1
test2-relevancy-video-game	aap	6	1
93290306	N9724.288332ACCUEN	6	1
91645625	dataxu	6	1
92858429	N438603.2631504WEALTHPROFESSIONA	6	1
millennial	evite	6	1
mcdonalds_mygotolunch_300x250	specificmedia1	6	1
728x90_relaunch	bizjournals	6	1
300x600	apartmenttherapy	6	1
91648838	dataxu	6	1
test2-relevancy-video-voice	aap	6	1
300x250	akitechnologiesmobile	6	1
11342485	76777	6	1
oadw728x90	timeinc	6	1
11342485	86112	6	1
46798822	18556	6	1
81400524	N6103.285985MEDIAIQ0	6	1
-	rocketfuel	6	1
crtve	$$_CDID_$$	6	1
91645628	dataxu	6	1
300x250_100sov_creativeb	gannett	6	1
715280	brightrollexchange	6	1
customvideo_jesse_cecilia	apartmenttherapy	6	1
-	juicemobile	6	1
300x250	fusionmediagroup	6	1
92503181	N4674.117101IMAGINGRESOURCE	6	1
auroravideo	adcolony	6	1
experiencia	rakutenmarketing	6	1
47892945	103673	6	1
commercial	owneriq	6	1
42172221	95546	6	1
93053356	N438603.2631504WEALTHPROFESSIONA	6	1
concept3	axios	6	1
138212715287	allrecipes	6	1
92062212	N9724.288332ACCUEN	6	1
shopper	allrecipes	6	1
contextual_coldflu_q4	xaxis	6	1
92092747	N9724.288332ACCUEN	6	1
48146988	18556	6	1
video_ad_vertical	ydigital	6	1
92503181	N4674.cnet.com	6	1
138212730680	meredith	6	1
92505946	N4674.353NATIONALGEOGRAPHIC	6	1
91996958	N69702.280211CONVERSANTMEDIA	6	1
deterministic_fox_video30s	dcbm	6	1
93480625	N4682.284566THETRADEDESK	6	1
-	meredith	6	1
138214803285	meredith	6	1
probabilistic_butterfly_300x250	dcbm	6	1
728x90	netmining	6	1
92970684	N553.google	6	1
92161175	N6625.668587.AODDISPLAY	6	1
91647911	dataxu	6	1
91466874	N4827.133090MEDIAMATH	6	1
video	acuity	6	1
91645613	dataxu	6	1
300x250	varickmm	6	1
93665736	N553.Rocketfuel	6	1
138214750882	meredith	6	1
91916782	N7123.128483.REALESTATE.COM.AU	6	1
138212666034	allrecipes	6	1
93954198	N1057.1972103DOUBLECLICKBIDMANAG	6	1
245540	421-innovid	6	1
93557966	N7384.1940901RADIUMONE	6	1
91574994	N9724.288332ACCUEN	6	1
92084993	dataxu	6	1
92290973	N30602.150834TURN2	6	1
messymoments	goodwaygroup	6	1
78135522	N5371.healthline	6	1
combine_coverage_save	zillow	6	1
chicago_regional	tapad	6	1
juice_simply_display320x50	juicemobile	6	1
video	tubemogul	6	1
93091830	N7384.131139SPECIFICMEDIAPERFOR0	6	1
48011744	299	6	1
300x250	purewow	6	1
93495152	N7310.752083.NETMININGLLC	6	1
138214803368	meredith	6	1
137724	dstillery	6	1
711891	brightrollexchange	6	1
300x600_real_time_headline_creativeb	gannett	6	1
138212731373	meredith	6	1
48304775	62574	6	1
a18_34_tier2_creativeb	gannett	6	1
78135522	N5371.157906.TIMEINC.COM	6	1
93707567	N96601.132333TRIADDIGITAL	6	1
48147555	18556	6	1
creative	nationalgeographicmobile	6	1
captify_lightbox_preexpand_creative1_billboa	captifyuk	6	1
93708446	N96601.132333TRIADDIGITAL	6	1
160x600_rnli_summer2017_angling_amazon_search	amazonint	6	1
46777490	171	6	1
nbu1x1	today	6	1
martin_house	collectivemedia	6	1
deterministic_fox_300x250	dcbm	6	1
60screative	videoamp	6	1
77662946	N311805.1236WEBMD	6	1
vsr_passionate_optimizer_homemaker	xaxis	6	1
94380362	N46002.1607AMERICANKENNELCLUB	6	1
300x600_real_time_headline	gannett	6	1
onion_video	theonion	6	1
manning	collectivemedia	6	1
228369	2928-innovid	6	1
48147578	18556	6	1
91904457	dataxu	6	1
juicerichmedia	juicemobile	6	1
92820245	N9724.149883CBSINTERACTIVE-CBSSP	6	1
160x600	varickmm	6	1
pre_roll	gannett	6	1
137722	dstillery	6	1
teads_funspottingv2	teads	6	1
roadblock	cafemedia	6	1
93823614	N5716.137443.TRIPADVISOR.CO.UK	6	1
400x300_native	globoesporte	6	1
92052525	N553.Rocketfuel	6	1
93370430	N5118.1302111CLEARSTREAM.TV	6	1
300x250_roc_branding	inccom	6	1
48035323	18556	6	1
92762808	N553.google	6	1
92203940	N46002.8660FAZ.DE	6	1
244747	23-innovid	6	1
78134264	N5371.274177.WEBMD	6	1
320x50	juicemobile	6	1
deterministic_zoo_video30s	dcbm	6	1
300x250_rms	globonoticias	6	1
-	Uol	6	1
138212730089	meredith	6	1
probabilistic_zoo_300x250	dcbm	6	1
93121406	N438603.2631504WEALTHPROFESSIONA	6	1
